Sentence,Topic,Indices,ArgumentIndices,Move,RValue,Class,SentenceId,Set,DocId,PredictedArgument,CoarseClass
"The school has consistently had good results for many years , yet ironically previously failing schools all brought in a smart new uniform when they were forced to become academies Also , it has been proven that wearing uniforms provides less of a distraction than fashionable clothes create . The code bans skimpy tops that expose the midriff or back and mandates that pants be `` properly fastened '' without exposing underwear , among other requirements .",school uniforms,"[(0, 37), (37, 48), (48, 77)]","[(37, 48)]",-,1.0,PM,C1.2260,train,doc_7156,wearing uniforms provides less of a distraction than fashionable clothes create,PM
"The polling indicates some areas where President Barack Obama ’ s promised push for new measures to combat gun-related violence could prevail . How can freedom work when there are lots of people `` running around out there '' with guns ? So far , only HB 1612 has passed , creating a new registry of people convicted of firearm felonies .",gun control,"[(0, 23), (23, 41), (41, 62)]","[(24, 41)]",m1,0.944,IMP,C1.2574,train,doc_3198,can freedom work when there are lots of people `` running around out there '' with guns,DISP
"These clones can also be dispelled like normal clones , however . Buddhist responses to cloning have been less opposed to cloning itself , but to the way clones will—not would—be treated once they became prominent . With complex object graphs , deep copying can also become problematic when recursive references exist .",cloning,"[(0, 26), (26, 36), (36, 53)]","[(26, 36)]",-,1.0,PM,C1.441,train,doc_1868,the way clones will—not would—be treated once they became prominent,PM
"This is true , even if you are only due the extra thirty cents per hour that the minimum wage increased in Oregon . 2.8 million working single parents would benefit from the President ’ s proposed increase in the full minimum wage , more than 80 percent of whom are women . Given the fact that minimum wage workers spend every penny they earn in their local businesses , a strong wage floor is also vital to stimulating the consumer spending necessary for real and lasting economic recovery . That is , for many activities , high-skilled labor can be a substitute for low-skilled labor .",minimum wage,"[(0, 24), (24, 43), (43, 53), (53, 89), (89, 107)]","[(24, 72)]",m2,0.792,MG,C3.1410,train,doc_5135,"2.8 million working single parents would benefit from the President ’ s proposed increase in the full minimum wage , more than 80 percent of whom are women . Given the fact that minimum wage workers spend every penny they earn in their local businesses , a strong",MG
"Although the state of Colorado has passed a law making medical marijuana possession legal , marijuana is still considered an illegal substance , punishable under federal laws . Because marijuana is prohibited , there is corruption , as well as poor quality control of the drugs that end up being illegally sold . One of these rules is that the patients who need treatment by marijuana should always carry the marijuana medical identification card with them .",marijuana legalization,"[(0, 28), (28, 52), (52, 77)]","[(28, 40)]",m1,0.5,SP,C1.1167,train,doc_4315,"Because marijuana is prohibited , there is corruption , as well as",SP
"It takes courage to be free , and far greater courage to allow others to be free . Limiting access to firearms or outright banning firearms is an extremely foolish idea . There is , by the way , nothing wrong with owning a business to make money ( that 's why businesses exist ) and supporting organizations that help protect your business from being screwed up by ineffective laws .",gun control,"[(0, 18), (18, 31), (31, 71)]","[(18, 31)]",-,1.0,PM,C1.2593,train,doc_3963,Limiting access to firearms or outright banning firearms is an extremely foolish idea,PM
"Bangladesh Those convicted of drug offences face mandatory prison sentences , even for small amounts of illegal drugs and can suffer the death penalty . All human life does have the right to be respected but there is a point when that right can be lost , if someone takes the life of another human being then they have given up that right . “ Support for capital punishment is starting to taper , ” says Wheelock , noting that the decline in support for the death penalty in Wisconsin corresponds to increasing opposition to executions nationally .",death penalty,"[(0, 25), (25, 63), (63, 98)]","[(25, 44)]",m1,0.5,SP,C1.767,train,doc_2728,All human life does have the right to be respected but there is a point when that right can,SP
"the only potential for anything to be rare is the original 18 or so figures that had card backs and they do n't even really count since packaging changes do n't make a rare figure . Supermodels could one day have a whole new human cloning career , selling cells from their bodies to make hundreds of `` perfect '' human clones for tomorrow 's parents . Managing Clone Customizers Cloning a virtual machine or template means making a copy of it , so that you can create multiple virtual machines or templates from the original .",cloning,"[(0, 36), (36, 47), (47, 97)]","[(36, 47)]",-,1.0,PM,C1.315,train,doc_1042,Supermodels could one day have a whole new human cloning career,PM
"The NRA has also very recently released a target-practice shooting app for iOS that allows the player to act is if they are in a shooting range . Other data are less clear , but there is no evidence supporting the promised decrease in crime from gun control . Perhaps their strongest talking point is that Britain has stronger gun-control laws than the United States and lower murder rates . A new report presents data that suggests there are hundreds ( potentially thousands ) of other ...",gun control,"[(0, 35), (35, 49), (49, 56), (56, 69), (69, 87)]","[(35, 69)]",m1,0.794,MG,C3.2881,test,doc_3818,there is no evidence supporting the promised decrease in crime from gun control . Perhaps their strongest talking point is that Britain has stronger gun-control laws than the United States and lower murder rates,MG
"Misoprostol is widely available worldwide as an ulcer medication but is being used safely and effectively either alone or with mifepristone in what have become known as a `` medical abortions '' . Guttmacher Institute , 2012 Of the estimated 40 million abortions that take place annually in developing country , many are unsafe and can result in serious maternal complications or death . With millions of men and women affected by abortion , it is our goal to encourage and provide healing opportunities to those that are hurting .",abortion,"[(0, 51), (51, 63), (63, 90)]","[(54, 63)]",m1,0.75,IMP,C1.145,train,doc_786,and can result in serious maternal complications or death,DISP
"While the law prevents these clinics from being used to “ provide ” abortions , it encourages groups like Planned Parenthood to make abortion referrals . Giving the baby away for adoption is a way to give the baby the chance to live , and to bring joy to infertile couples and other families that want to adopt . Many women feel otherwise , and my efforts are mostly directed toward helping those women who are struggling with a past abortion .",abortion,"[(0, 26), (26, 58), (58, 82)]","[(26, 42)]",m1,0.5,SP,C1.186,train,doc_834,Giving the baby away for adoption is a way to give the baby the chance to,SP
"Given that Obama needs the votes of independents and needs to have young adults turn out in large numbers for the 2012 election , his decision to wage a multi-federal agency war against medical marijuana is an extremely bizarre political move . Decriminalization legalizes possession of small amounts of marijuana , but it does not eliminate the underground market or permit easy taxation . If they legalized marijuana , that means that the government would n't have to pay for the effort to catch drug dealers , and instead tax the selling of the drug like they tax alcohol and tobacco . Alcohol is generally thought as socially acceptable and relatively harmless , but it can harm the user very easily .",marijuana legalization,"[(0, 52), (52, 63), (63, 72), (72, 95), (95, 122)]","[(52, 83)]",m2,0.71,MG,C3.1281,train,doc_4920,"it does not eliminate the underground market or permit easy taxation . If they legalized marijuana , that means that the government would n't have to pay for the effort to",MG
"However , closing plants was an overreaction for Germany , which is not at risk for earthquakes or tsunamis and has since seen its annual emissions increase . According to their argument , if Americans are going to satisfy their energy demands while achieving the goal of cutting greenhouse gas emissions , the country needs to re-invest in nuclear energy . Ireland Administrative Arrangement Between the Canadian Nuclear Safety Commission and the Radiological Protection Institute of Ireland for Import and Export of Radioactive Sources Description :",nuclear energy,"[(0, 33), (33, 60), (60, 86)]","[(33, 60)]",-,1.0,PM,C1.1794,train,doc_6127,"if Americans are going to satisfy their energy demands while achieving the goal of cutting greenhouse gas emissions , the country needs to re-invest in nuclear energy",PM
"Scranton School District officials said any students who qualify for free or reduced lunch can also qualify for help buying the new uniforms next school year . One of the advantages of school uniforms is that there is nothing to distinguish who is poor or well off . Easy-fit junior size flat front short with side pockets and right hip pocket , sits at the natural waist .",school uniforms,"[(0, 35), (35, 47), (47, 68)]","[(35, 47)]",-,1.0,PM,C1.2105,train,doc_7000,that there is nothing to distinguish who is poor or well off,PM
"In the 1990 ’ s though , California made medical marijuana legal and more popular than ever ; to patients with a doctor ’ s prescription . Parts of new laws in Colorado and Washington that legalize small amounts of recreational marijuana will take effect early next month . If that is not all , medical marijuana has been allowing patients across the world .",marijuana legalization,"[(0, 27), (27, 49), (49, 65)]","[(7, 21)]",-,0.0,MU,C2.1115,train,doc_4421,California made medical marijuana legal and more popular than ever ; to patients with,MU
"If the local demands are for the death penalty as a tool for transitional justice procedure , how should the UN react ? Dennis Miller `` Does it make sense for the state to hire murderers to kill defenseless victims on death row , in order to prove that hiring murderers to kill defenseless victims is morally wrong ? While most of the free world has abolished the death penalty , many of the states within this country continue to use capital punishment in their criminal justice systems . The death penalty is given by lethal injection , electrocution ; gas chamber firing squad and hanging are some of the ways that certain states may carry out their death penalty procedures",death penalty,"[(0, 26), (26, 58), (58, 60), (60, 70), (70, 121)]","[(42, 70)]",m3,0.857,MG,C3.886,train,doc_2874,"row , in order to prove that hiring murderers to kill defenseless victims is morally wrong ? While most of the free world has abolished the death penalty",MG
"l. The Court also held that an innocent inmate could seek to prevent his execution through the clemency process , which , historically , has been `` the 'fail safe ' in our justice syste I think I could prove to you that I could put someone in the Waldorf Hotel for 60 to 70 years and feed them three meals a day cheaper than we can litigate a single death penalty case . With how hard people work to earn and maintain an income , it would be nice to know where the money taken ... We owe it to families of murder victims to have in place a system of justice that is swift and sure , and to provide them with meaningful services to help them heal and recover from the trauma of murder . It further acknowledges the death penalty as an exception to the right to life , while listing safeguards and restrictions on its implementation .",death penalty,"[(0, 43), (43, 73), (73, 97), (97, 137), (137, 162)]","[(44, 126)]",m4,0.708,MG,C4.850,train,doc_2831,"could put someone in the Waldorf Hotel for 60 to 70 years and feed them three meals a day cheaper than we can litigate a single death penalty case . With how hard people work to earn and maintain an income , it would be nice to know where the money taken ... We owe it to families of murder victims to have in place a system of justice that is swift and sure , and to provide them with meaningful services",MG
"For instance , CODE references and closures are incredibly difficult ( if not impossible ) to clone correctly , objects created from them are not recommended as they are unlikely to work since we can not accurately clone them . This means that on the long run , the clones will be vulnerable to diseases because their immunity systems are not evolving through sexual reproduction ( Carney , 1875 ) . It ’ s about the deliberate production of cloned human embryos and their destruction in the name of medical progress .",cloning,"[(0, 48), (48, 65), (65, 92)]","[(50, 65)]",m1,0.882,IMP,C1.468,train,doc_1900,will be vulnerable to diseases because their immunity systems are not evolving through sexual reproduction,DISP
"Nuclear fuel supply assurance is of great importance to promoting the development of nuclear energy . Areas such as safety , non- proliferation , economics , fuel cycle implications of GIF systems , small and medium sized reactors , and thorium utilization are areas of potential collaboration . Without financial and industrial resources terrorists would need to steal or purchase their materials from existing stockpiles or receive aid from a nation .",nuclear energy,"[(0, 16), (16, 48), (48, 72)]","[(57, 64)]",-,0.0,MU,C2.1784,train,doc_6574,steal or purchase their materials from existing,MU
"When you say it ’ s addictive you ’ re then comparing to addictives like cocaine , crack , adderall , and various pain killers even alcohol and tobacco . This does not apply to marijuana , since the individual who chooses to use marijuana does so according to his or her own free will . ries often sell hydroponic marijuana seeds through mail order , which can be grown in nutrient solution , with or without soil .",marijuana legalization,"[(0, 30), (30, 56), (56, 79)]","[(43, 57)]",-,0.0,MU,C2.1201,train,doc_4521,use marijuana does so according to his or her own free will . ries,MU
"Ireland Administrative Arrangement Between the Canadian Nuclear Safety Commission and the Radiological Protection Institute of Ireland for Import and Export of Radioactive Sources Description : Countries that do not choose to produce clean energy in a carbon constrained world will inevitably pay more to produce energy , resulting in higher input costs and higher prices for consumer s on the open market ; How hazardous is radioactive waste ?",nuclear energy,"[(0, 25), (25, 57), (57, 69)]","[(25, 41)]",m1,0.5,SP,C1.1832,train,doc_6179,Countries that do not choose to produce clean energy in a carbon constrained world will inevitably,SP
"I have shopped there for at least 10 years , and have found if you start there you can often avoid a trip to several stores around a mall . The skirt is really annoying and it 's a special design that you can only get from school and is really expensive . Parents as well can benefit because buying uniforms is much cheaper and less stressful than spending obscene amounts of time and money purchasing a varied wardrobe , often for more than one child at a time . It ’ s important to see in other towns , other schools that have uniforms if academics are improved , if morale is higher , if school spirit is higher , '' he said .",school uniforms,"[(0, 30), (30, 52), (52, 53), (53, 79), (79, 125)]","[(24, 74)]",m8,0.86,MG,C3.2139,train,doc_7737,several stores around a mall . The skirt is really annoying and it 's a special design that you can only get from school and is really expensive . Parents as well can benefit because buying uniforms is much cheaper and less stressful than spending obscene amounts of time and,MG
"Since they would no longer acquire money from selling marijuana if it is legalized , they would find other ways to make money . Synthetic marijuana-like drug will transform your state of mind to bliss , ecstasy and happiness . Instead of moving closer to legalizing recreational or medical marijuana , the Wisconsin Senate passed a bill that would give municipalities a stronger ability to prosecute nonviolent users of marijuana .",marijuana legalization,"[(0, 24), (24, 39), (39, 71)]","[(24, 31)]",m1,0.467,SP,C1.1071,train,doc_4192,Synthetic marijuana-like drug will transform your state,SP
"you can easily carry it in your pocket or purse , backpack or glove box . It is only realistic to expect that any weapon can be used for purposes for which it was not intended . Providing a control for each powder spray gun results in a control system that is modular , highly flexible and provides a more comprehensive powder coating process control .",gun control,"[(0, 23), (23, 36), (36, 66)]","[(26, 36)]",m1,0.769,IMP,C1.2759,train,doc_3025,be used for purposes for which it was not intended,DISP
"That 's a good point that argues against what I was ranting about , actually -- if the official uniform is prohibitively expensive , one from Walmart would be preferable ! In any event in which quick identification of students should become necessary , uniforms can be of great service to school authorities . Many are very important such as student behavior and performance , lack of funding , and highly qualified staff , and some are just minor such as use of technology and extra-curricular activities .",school uniforms,"[(0, 31), (31, 53), (53, 88)]","[(31, 42)]",m1,0.5,SP,C1.2204,train,doc_7053,In any event in which quick identification of students should become,SP
"56 % Want Marijuana Legalized and Regulated Like Alcohol A solid majority , 56 percent , of registered American voters favor legalizing marijuana and regulating it in a manner similar to alcohol and tobacco , according to a new Rasmussen poll . And the black market benefits from the high taxes , too – as their products can be sold for much less . By legalizing and regulating marijuana , an abundance of jobs will be ... ...",marijuana legalization,"[(0, 43), (43, 51), (51, 78)]","[(43, 51)]",-,1.0,PM,C1.1026,train,doc_4140,the black market benefits from the high taxes,PM
"Such measures include requiring police permits , background checks , waiting periods , or licensing and registration for all gun owners . Finally , the NRA has successfully argued that gun-control laws are ineffective while it also works to ensure there is little to no government funding for scientific research on the effectiveness of gun-control measures . To paraphrase Benjamin Franklin : those who would support such a perverse bargain deserve neither freedom nor security .",gun control,"[(0, 30), (30, 34), (34, 76)]","[(6, 62)]",m7,0.071,MISP,C1.2891,test,doc_3868,", background checks , waiting periods , or licensing and registration for all gun owners . Finally , the NRA has successfully argued that gun-control laws are ineffective while it also works to ensure there is little to no government funding for scientific research on the effectiveness of gun-control measures . To paraphrase Benjamin Franklin :",DISP
"for many years now as they have always provided us with an efficient and friendly service , together with very competitive prices . Children are growing up and one uniform is not enough for whole school education and they need at least one for summer and one for winter . That 's a good point that argues against what I was ranting about , actually -- if the official uniform is prohibitively expensive , one from Walmart would be preferable !",school uniforms,"[(0, 23), (23, 49), (49, 81)]","[(23, 36)]",m1,0.5,SP,C1.2379,train,doc_7915,Children are growing up and one uniform is not enough for whole school,SP
"It is the same as the Target Clone , just as the Target Clone is the same as the Clones war Super Clone just with new helmet . It goes against the natural laws of Earth , and against the will of God , or any creator otherwise . With cloning being an expensive procedure , cloning animals is unnecessary , especially considering its negative results . Cloning Craze Due to the high cost of cloning , cloned animals are primarily used for breeding purposes .",cloning,"[(0, 28), (28, 48), (48, 56), (56, 66), (66, 86)]","[(38, 66)]",m3,0.714,MG,C3.445,train,doc_1873,"against the will of God , or any creator otherwise . With cloning being an expensive procedure , cloning animals is unnecessary , especially considering its negative results",MG
"This bill keeps the criminal behind bars for the rest of his or her life , without any chance of getting out . Proponents also argue that the death penalty provides emotional compensation to the families of crime victims . With a state Supreme Court ruling on the appeal of the state ’ s only death row inmate expected soon , a coalition against the death penalty launched its campaign yesterday to end capital punishment next year .",death penalty,"[(0, 27), (27, 39), (39, 78)]","[(30, 39)]",m1,0.75,IMP,C1.518,train,doc_2001,provides emotional compensation to the families of crime victims,DISP
"“ This way you can move towards abolition [ the death penalty ] without infringing on Islam . That view has become more mainstream in conservative circles because DNA technology has shown that some of the murderers facing death sentences in the United States actually are innocent . What is absolute is that the executive branch can reduce sentences and the legislature can change the laws and make them retroactive , if it benefits the criminal , thereby offering two avenues for parole in `` absolutely '' no-parole cases .",death penalty,"[(0, 18), (18, 47), (47, 90)]","[(18, 47)]",-,1.0,PM,C1.645,train,doc_2571,That view has become more mainstream in conservative circles because DNA technology has shown that some of the murderers facing death sentences in the United States actually are innocent,PM
"It further acknowledges the death penalty as an exception to the right to life , while listing safeguards and restrictions on its implementation . Among the problems highlighted in the report are the enormous costs of the death penalty , the long delay in assigning lawyers for death penalty appeals , and the absence of any meaningful return for all the resources spent . The Court thus found that `` under the present statute , the death penalty may not be imposed '' under New York law , but that first degree murder prosecutions could continue to go forward as non-capital cases under the current statute .",death penalty,"[(0, 32), (32, 63), (63, 107)]","[(40, 63)]",m1,0.742,IMP,C1.760,train,doc_2720,"the long delay in assigning lawyers for death penalty appeals , and the absence of any meaningful return for all the resources spent",DISP
"Trained midlevel providers can safely and effectively perform vacuum aspiration , the standard treatment for failed medical abortions , thus enabling delivery of medical abortion in decentralized areas that have few or no doctors . None of that is good considering both the unborn children killed and the women who risk their health by this particular abortion method . “ Therefore , only marginal or practically null effects would be expected from abortion legalizatio n or abortion prohibition on overall maternal mortality rates in this Latin American country , ” the report said When the Guttmacher Institute ’ s researchers say abortion ratio , what they mean is “ abortions per 100 pregnancies ending in abortion or live birth , ” which is to say , abortions as a percentage of all pregnancies excluding miscarriages .",abortion,"[(0, 35), (35, 53), (53, 62), (62, 74), (74, 136)]","[(41, 75)]",m7,0.706,MG,C3.169,train,doc_814,"both the unborn children killed and the women who risk their health by this particular abortion method . “ Therefore , only marginal or practically null effects would be expected from abortion legalizatio n",MG
"While many New Zealand schools require traditional uniforms , there have been many significant changes over time . Well if they are looking for a particular student it then becomes harder for them to find the person they are looking for due to all the students being dressed the same . STUDENTS CAUGHT carrying guns or other dangerous weapons on school property would automatically be suspended and likely would be expelled under a bill unanimously approved Wednesday by a Senate panel .",school uniforms,"[(0, 27), (27, 50), (50, 82)]","[(27, 50)]",-,1.0,PM,C1.2253,train,doc_7761,it then becomes harder for them to find the person they are looking for due to all the students being dressed the same,PM
"Some Empirical Results Tracing the impact of a rise in the minimum wage on employment is difficult because of “ confounding factors ” —that is , things that are assumed constant in the law of demand . Clearly , if the employer was receiving that value in labor , free market competition would force them to pay the wage for that labor . His work shows that among those earning no more than the federal minimum wage of $ 7.25 in 2011 , fewer than a quarter were teenagers . s. The average percentages of bound workers for young adults and for adults-LTHS are roughly one-third as large , so minimum wage effects here are likely to be more difficult to disce",minimum wage,"[(0, 37), (37, 62), (62, 67), (67, 89), (89, 122)]","[(33, 87)]",m8,0.833,MG,C3.1553,train,doc_5765,"law of demand . Clearly , if the employer was receiving that value in labor , free market competition would force them to pay the wage for that labor . His work shows that among those earning no more than the federal minimum wage of $ 7.25 in 2011 , fewer than a quarter",MG
"Several states have resumed executions , including states with long-standing de facto moratoriums ; others have reintroduced the use of the death penalty or extended its scope in their legislation . It costs much less money to keep people convicted of high ... eters continues to press capital murder cases , the attack on the death penalty again is percolating .... Deters , thou",death penalty,"[(0, 32), (32, 39), (39, 64)]","[(32, 39)]",-,1.0,PM,C1.701,train,doc_2644,costs much less money to keep people,PM
"Illegal abortions are also becoming increasingly safer due to the use of two medications : mifepristone and misoprostol . Historical Trends Illegal Abortion Mortality Claims that tens of thousands of women lost their lives annually from illegal abortion persist to this day . Even if everything is loaded and the source file is compilable , the source may have changed significantly since last time , with the consequence that other files must be compiled as well , otherwise things break .",abortion,"[(0, 26), (26, 38), (38, 81)]","[(26, 38)]",-,1.0,PM,C1.105,train,doc_130,tens of thousands of women lost their lives annually from illegal abortion,PM
Need Banker Willing to Deal With Marijuana Business Legal marijuana businesses might have to start posting “ Help Wanted ” signs for someone willing to provide financial services to them . It also provides choices for channeling financial and political support . The tobacco market is also boasting that the marijuana market might be as high as $ 10 billion annually for their industry .,marijuana legalization,"[(0, 31), (31, 41), (41, 65)]","[(31, 41)]",-,1.0,PM,C1.1121,train,doc_4252,It also provides choices for channeling financial and political support,PM
"A nationwide Gallup poll conducted in May 2006 found similar results , with support for the death penalty hovering around two-thirds over the past decade . Thurow agrees that if the death penalty could be shown to save lives , by deterring violent crime , it might be worth it . Japan 's condemned prisoners are kept in inhuman conditions for decades and then taken out of their cells and hanged without warning .",death penalty,"[(0, 29), (29, 50), (50, 74)]","[(29, 39)]",m1,0.476,SP,C1.587,train,doc_2082,if the death penalty could be shown to save lives,SP
"However , the minimum wage in Albuquerque will be $ 7.60 if an employer provides healthcare and/or childcare benefits to the employee during any pay period and the employer pays an amount for these benefits equal to or in excess of an annualized cost of $ 2,500 . Raising the total minimum wage and the tipped minimum wage will help reduce poverty among women and their families and make it easier for lower wage workers to reach the middle class . 166,000—number of workers in North Carolina who earn slightly above $ 9.00 an hour who would indirectly benefit from increase in minimum wage as employers incrementally increase their wages to reflect the new wage floor ( Ibid )",minimum wage,"[(0, 48), (48, 80), (80, 119)]","[(48, 80)]",-,1.0,PM,C1.1403,train,doc_5122,Raising the total minimum wage and the tipped minimum wage will help reduce poverty among women and their families and make it easier for lower wage workers to reach the middle class,PM
"For many pro-gun independents , Obama is not seen as a real threat to gun rights . Furthermore , the use of a PLC as the centralized control system has a further disadvantage in that it is difficult and expensive to change the electrical configuration of the control system . Farmers that have chickens and cows or other animals need guns to protect their animals from coyotes . So no real argument can be fully supported just by having these statistics in hand .",gun control,"[(0, 19), (19, 49), (49, 50), (50, 67), (67, 84)]","[(23, 67)]",m3,0.977,MG,C3.2713,train,doc_3805,PLC as the centralized control system has a further disadvantage in that it is difficult and expensive to change the electrical configuration of the control system . Farmers that have chickens and cows or other animals need guns to protect their animals from coyotes,MG
"Many of the materials issues in renewable energies , environmental impacts of energy technologies as well as beneficial and toxicity issues of nanoparticles in health are intertwined . The low and stable cost of nuclear energy helps reduce the price of electricity paid by consumers . Breeding nuclear fuel is not just a hypothetical possibility ; mankind has already demonstrated breeding on a commercial scale .",nuclear energy,"[(0, 28), (28, 45), (45, 66)]","[(28, 36)]",m1,0.471,SP,C1.1706,train,doc_6018,The low and stable cost of nuclear energy,SP
"These seem to be minimal steps that are well within Obama ’ s executive reach . Opponents of gun control argue that gun owners often use their weapons to deter crime and that handguns are most commonly used for this purpose . The second area of powder spray control is gun triggering , that is , when the spray gun is turned ON and OFF , in relation to parts traveling through the spray booth .",gun control,"[(0, 22), (22, 41), (41, 76)]","[(22, 41)]",-,1.0,PM,C1.2458,train,doc_3838,gun owners often use their weapons to deter crime and that handguns are most commonly used for this purpose,PM
"How can future nuclear power plants be made safer ? The survey found that 89 % of Americans agree that all low-carbon energy sources – including nuclear , hydro and renewable energy – should be taken advantage of to generate electricity while limiting greenhouse gas emissions . As energy crisis is becoming a global issue mainly because of the increase in the price of oil due to the depleting resources of energy like fossil fuels and natural gase s Wind and solar energy produce , inconsistently , kilowatts ( or at best a few megawatts here and there ) , but today 's populations consume gigawatts and terawatts ( that is to say , thousands or millions of times as much ) .",nuclear energy,"[(0, 20), (20, 46), (46, 57), (57, 78), (78, 123)]","[(20, 78)]",m1,0.81,MG,C3.1746,train,doc_6065,"all low-carbon energy sources – including nuclear , hydro and renewable energy – should be taken advantage of to generate electricity while limiting greenhouse gas emissions . As energy crisis is becoming a global issue mainly because of the increase in the price of oil due to the depleting resources of energy like fossil fuels and natural gase",MG
".. Justice for Juveniles Capital punishment is the ultimate punishment that can be received by a convicted criminal in a capital offenc Clemence said death row inmates would n't cost states as much , since they should n't be staying in the prisons into old age . `` The reason for Zheng Xiaoyu 's death sentence was that the bribes he took were huge and he committed serious crimes , '' Gan said .",death penalty,"[(0, 24), (24, 46), (46, 74)]","[(24, 46)]",-,1.0,PM,C1.624,train,doc_2127,"death row inmates would n't cost states as much , since they should n't be staying in the prisons into old age",PM
"The gun and turret drives are controlled by an aloft radar antenna mount or by an aloft main-battery gun director , operating in conjunction with main-battery plotting room equipment . It ’ s hardly unusual in American politics for supporters of gun control to seize on a gun-related tragedy like Aurora to advance their cause . Fifth , laws have been subject to political compromise , leaving multiple “ loopholes ” whose shortcomings can be exploited by both gun control and gun rights advocates .",gun control,"[(0, 30), (30, 56), (56, 85)]","[(2, 20)]",-,0.0,MU,C2.2112,train,doc_3587,and turret drives are controlled by an aloft radar antenna mount or by an aloft main-battery gun director,MU
"The trend has been changing now and wind , solar and nuclear energy has filled the broaden gap . The Nuclear Safety and Control Act , which established the CNSC in May 2000 , provides a modern regulatory framework that mirrors the latest scientific knowledge in the areas of health , safety , security and environmental protection . Equip yourself with information that enables you to sharpen your strategies and transform your operations profitably .",nuclear energy,"[(0, 19), (19, 58), (58, 75)]","[(17, 21)]",-,0.0,MU,C2.1790,train,doc_6580,gap . The Nuclear,MU
"Moreover , competing effects of electronic and nuclearenergy loss on the damage accumulation and annihilation are observed in crystalline 4H-SiC . Permitting utilities to credit nuclear energy towards meeting renewable portfolio standards would help the nation meet greenhouse gas reduction targets more quickly and more cheaply . As world leaders , you can work together to replace this small amount of energy from other readily available , very safe and affordable sources of energy to move us towards a carbon-free and nuclear-free future .",nuclear energy,"[(0, 21), (21, 46), (46, 84)]","[(21, 33)]",m1,0.48,SP,C1.1812,train,doc_6154,Permitting utilities to credit nuclear energy towards meeting renewable portfolio standards would,SP
"While some small businessesfor instance , small restaurants or storesmay pay minimum wage rates , others , such as small law or architecture firms and construction businesses , are likely to pay well above the minimum wage . Raising the full minimum wage and the tipped minimum wage will help reduce poverty among women and their families , as well as make progress toward closing the gender pay gap . Council did not direct staff to create small business exemptions ( or any other exemptions ) , but a slower phase-in rate may be considered for employees of small businesses .",minimum wage,"[(0, 38), (38, 69), (69, 101)]","[(38, 53)]",m1,0.484,SP,C1.1510,train,doc_5260,Raising the full minimum wage and the tipped minimum wage will help reduce poverty among,SP
"Uruguay 's Senate approved the world 's first national marketplace for legal marijuana Tuesday , an experiment that puts the government in charge of growing , selling and using a drug that is illegal almost everywhere else . Legalization for Medical Purposes Advocates of the legalization of marijuana for medical purposes say that it would help people who are suffering from painful maladies and illnesses . They believe that legalizing marijuana would be like legalizing something considered to be a death sentence but they have no issues with alcohol and nicotine consumption even though it kills people and is way more addictive than marijuana . Smith adds that legal marijuana sales in the country could reach $ 3 billion in 2014 .",marijuana legalization,"[(0, 53), (53, 65), (65, 69), (69, 82), (82, 122)]","[(49, 80)]",m8,0.742,MG,C3.1187,train,doc_4337,medical purposes say that it would help people who are suffering from painful maladies and illnesses . They believe that legalizing marijuana would be like legalizing something considered to be a,MG
"Some policymakers may believe that companies simply absorb the costs of minimum wage increases through reduced profits , but that 's rarely the case . Furthermore , an extension of the time-series studies that had previously been used to claim that raising the minimum wage decreases employment , no longer finds a significant impact . Unions in certain low-paid industries ( particularly crisis-hit ones ) are constantly under pressure to bargain wages downwards , via “ concessional bargaining ” , in an often futile attempt to protect jobs .",minimum wage,"[(0, 27), (27, 54), (54, 89)]","[(35, 54)]",m1,0.704,IMP,C1.1370,train,doc_5077,"previously been used to claim that raising the minimum wage decreases employment , no longer finds a significant impact",DISP
"results for `` Advantages And Disadvantages Of School Uniform '' Advantages and Disadvantages of the uniforms in the schools Students all around the world have worn schooluniform for many years . For example , school students , especially girls , will not spent a lot of time choosing their clothes every day if they wear school uniforms . I have no problem with logoed jumpers IF they are good quality , good price and easily available from the school .",school uniforms,"[(0, 34), (34, 57), (57, 80)]","[(37, 57)]",m1,0.87,IMP,C1.2794,test,doc_7357,"especially girls , will not spent a lot of time choosing their clothes every day if they wear school uniforms",DISP
"This would be the accuracy we 'd expect if Clarisse Green and the state vital records offices are to be believed , and also only about 30 % of abortion deaths are coded on death certificates in such a way that the NCHS computers notice them . “ The term `` abortion '' actually refers to any premature expulsion of a human fetus , whether naturally spontaneous , as in a miscarriage , or artificially induced , as in a surgical or chemical abortion . Nearly every young person “ surfs the net ” for products to purchase and businesses for specific services .",abortion,"[(0, 47), (47, 85), (85, 104)]","[(75, 86)]",-,0.0,MU,C2.209,train,doc_442,"induced , as in a surgical or chemical abortion . Nearly",MU
"This bill keeps the criminal behind bars for the rest of his or her life , without any chance of getting out . Moreover , when respondents are given alternatives such as life without parole , support for the death penalty falls below 50 % . With how hard people work to earn and maintain an income , it would be nice to know where the money taken ...",death penalty,"[(0, 25), (25, 44), (44, 69)]","[(25, 34)]",m1,0.474,SP,C1.732,train,doc_2686,when respondents are given alternatives such as life without,SP
