Sentence,Topic,Indices,ArgumentIndices,Move,RValue,Class,SentenceId,Set,DocId,PredictedArgument,CoarseClass
"Many people consider that the drawbacks of this phenomenon outweigh its merits . Obviously , the popularity of news media is beneficial to human beings . This is a convenient way of relaxation after hard work . However , it is possible that this idea is not completely true .",The popularity of news media,"[(0, 15), (15, 25), (25, 26), (26, 36), (36, 50)]","[(13, 34)]",m8,0.857,MG,C3.988,train,essay095,"Obviously , the popularity of news media is beneficial to human beings . This is a convenient way of relaxation after",MG
"Some people think that computer is good for children and it should be used daily by children but some others think differently . It is a well-known fact that people who are addicted to games , especially online games , can eventually bear dangerous consequences . People should learn how to use it properly to make it an effective tool because computer should be used not only for entertaining but also for working and studying purpose .",Computer has negative effects to children,"[(0, 29), (29, 45), (45, 77)]","[(29, 37)]",m1,0.5,SP,C1.236,train,essay024,"people who are addicted to games , especially",SP
"Unfortunately , the unstoppable trend of urbanization makes me only appreciate parts of those classic buildings in the pictures or in museums . Here are some reasons and examples to illustrate my viewpoint . The city where I was born used to be of a great antique beauty , which was surrounded with by lots of ancient style buildings .",The city which I enjoy the most is a combination of history and modernity,"[(0, 23), (23, 34), (34, 60)]","[(14, 54)]",-,0.0,MU,C2.2014,test,essay331,"classic buildings in the pictures or in museums . Here are some reasons and examples to illustrate my viewpoint . The city where I was born used to be of a great antique beauty , which was surrounded with by",MU
"have made artistic works which gave a social message . Artists should have self-awareness not to create vulgar , hurtful or useless works which do not serve any purpose . Many governments restrict the artistic works of the creative minds .",Creativity - should it be given freedom or restrictions,"[(0, 10), (10, 29), (29, 41)]","[(10, 19)]",m1,0.474,SP,C1.569,train,essay057,"Artists should have self-awareness not to create vulgar ,",SP
"Living in the 21st century , people are firmly convinced that technology is the main driving force behind productivity . They argue that people , especially youngsters , are crazier about fresh and advanced things , such as digital products , thus becoming indifferent to traditional techniques . Some people are worried modern technological technology is probably a hurdle to the preservation of traditional techniques and lifestyles .",Technology keeps traditional skills and ways of life alive or not?,"[(0, 25), (25, 47), (47, 68)]","[(25, 36)]",m1,0.5,SP,C1.716,train,essay066,"especially youngsters , are crazier about fresh and advanced things ,",SP
"People are no longer restricted in the office . They can either get help from colleges or discuss about the work together . Due to the convenience of current technology , people can do their works everywhere as long as they have the equipment around them .",Working at home vs Working in a company,"[(0, 9), (9, 22), (22, 47)]","[(11, 22)]",m1,0.846,IMP,C1.2670,test,essay259,either get help from colleges or discuss about the work together,DISP
"I am the kind of person who has only one or two close friends , and I am fully content that I have such nice friends . Because of the similarity I talked before , acquaintances probably not able to understand you better than your friends . After two years in college I have found sometimes there is more differences between people than similarities , for we are growing in the different families and was educated in various ways . There is no need for me to put any emphasis on the advantage of having a large number of casual acquaintance .",One or two close friends vs. a large number of casual acquaintances,"[(0, 35), (35, 46), (46, 47), (47, 79), (79, 102)]","[(35, 62)]",m2,0.8759999999999999,MG,C3.1309,test,essay126,acquaintances probably not able to understand you better than your friends . After two years in college I have found sometimes there is more differences between people,MG
"I think that No factor is important enough by itself to succeed in any situations . So , relating well to people is also another important factor . We should consider many factors and choose the best of them .",The ability to relate well to people is more important,"[(0, 18), (18, 27), (27, 40)]","[(18, 27)]",-,1.0,PM,C1.2748,test,essay265,relating well to people is also another important factor,PM
"In this essay , I would like to analyze these three issues in order to support my viewpoint . In conclusion , nothing can be overused without side effects . Another debatable problem is about techniques .",Effects of mobile phones,"[(0, 19), (19, 30), (30, 37)]","[(10, 35)]",-,0.0,MU,C2.132,train,essay023,"three issues in order to support my viewpoint . In conclusion , nothing can be overused without side effects . Another debatable problem is about",MU
"The life today is totally different from half centuries before . Everyday , I walk on hard roads , breath in polluted air , and live in a limited space . If you are not able to handle your jobs , then someone will replace you right away . Advances in technology do help humans to solve abundant of problems ; however it also deprives of some things that we had .",People are put too much focus on making wealth and progress in technology,"[(0, 11), (11, 30), (30, 31), (31, 48), (48, 72)]","[(8, 46)]",m8,0.895,MG,C3.1326,train,essay127,"centuries before . Everyday , I walk on hard roads , breath in polluted air , and live in a limited space . If you are not able to handle your jobs , then someone will replace you",MG
"I wish one day this problem would be changed . Obviously , it is waste of time . They must take only a bus to go to another place . Also , it provides many advantages .",One important thing that I want to change about my hometown,"[(0, 12), (12, 17), (17, 18), (18, 29), (29, 37)]","[(12, 24)]",m2,0.917,MG,C3.3047,train,essay288,it is waste of time . They must take only a bus,MG
"Some people tend to believe that communication in person is the best way of expression , while others seem to stand on the opposite position . Apart from the one I have mentioned above , another equally crucible aspect is that it is easy to be deceived without face-to face communication . For instance , I had received some harmful words on facebook from my best friend , Eric . However , from my limited understanding , I just doubt the credibility of that saying .",More convincing,"[(0, 41), (41, 51), (51, 55), (55, 69), (69, 86)]","[(41, 67)]",m2,0.847,MG,C3.1471,train,essay141,"it is easy to be deceived without face-to face communication . For instance , I had received some harmful words on facebook from my best friend",MG
"Everybody require some break from their tight schedules likewise students also require vacation form their intense academic schedules . To quote an instance , in my school we used to get several vacations after our quarterly exams . In both the scenario students relief themselves . During those vacations i used to analyze my performance in latest examination and used to go through those question or concept again to avoid making same mistakes . Many people promote one long vacation system of the school because it would help student to start their course or academic year with strong zeal of learning .",One long vacation or several long vacation,"[(0, 24), (24, 37), (37, 46), (46, 73), (73, 102)]","[(24, 60)]",m2,0.75,MG,C4.2196,train,essay300,in my school we used to get several vacations after our quarterly exams . In both the scenario students relief themselves . During those vacations i used to analyze my performance in latest examination and used,MG
"However , their talents should not be overrated . They also point out that these people have to undergo painstaking and industrious training , let alone participate in a great number of contests to be recognized and prove themselves . However , that is not equal to their actual contributions to the society . While scientists invent machines serving daily lives , doctors take care of patients and cure their diseases and policemen help to ensure the safety and stability of the nation , singers and athletes do not play a helpful part in improving the material life . I think that there should be a modification in the salary of professional singers and athletes to balance with those of people in other fields , namely science and society , who are the driving forces for the prosperity of the nation .",Whether athletes and singers are overpaid?,"[(0, 9), (9, 39), (39, 54), (54, 98), (98, 142)]","[(9, 82)]",m2,0.7949999999999999,MG,C4.872,train,essay118,"They also point out that these people have to undergo painstaking and industrious training , let alone participate in a great number of contests to be recognized and prove themselves . However , that is not equal to their actual contributions to the society . While scientists invent machines serving daily lives , doctors take care of patients and cure their diseases and policemen help to ensure the safety and stability of the",MG
"The population explosion results in the high demands of transportation . Secondly , investing in roads and highways can broaden the area and allow more public transportation to work . I am usually inclined to this idea and I hope that the government will regard the investment in building roads as the most important thing .",Government should regard investing in building roads as the most important,"[(0, 13), (13, 29), (29, 56)]","[(16, 29)]",m1,0.812,IMP,C1.2204,train,essay216,and highways can broaden the area and allow more public transportation to work,DISP
"There are many Tv programs such as sports programs . First of all , television has useful and educational programs . Many people say that television has negative effects on children , since it can be violent or inappropriate for children .",Tv has NO negative effects on children,"[(0, 14), (14, 20), (20, 42)]","[(14, 15)]",m4,0.167,MISP,C1.2291,train,essay223,television,DISP
"However , if one coniders the issue carefully , he or she may agree the title statement as I do . If top-level managers want to make a project successful , have a good relationship with their subordinaries is the prerequisit for the managers ' work complete successfully , managers should listen to their employees needs and complaints about this job , pay much patiant and care to them . To agree or disagree the statement that as far as getting a successful job in the future concerned , good ability of relating to people is more crucial than studying hard in the univeirsity is a matter of balancing its pros and cons .",Ability to Relate Well to people Vs Studying Hard,"[(0, 21), (21, 69), (69, 114)]","[(26, 69)]",m1,0.896,IMP,C1.2794,train,essay269,"make a project successful , have a good relationship with their subordinaries is the prerequisit for the managers ' work complete successfully , managers should listen to their employees needs and complaints about this job , pay much patiant and care to them",DISP
"Therefore it is recommended that young people should be educated not to follow these celebrities blindly , rather they should focus on their career so that they may hope for a bright future . So , this example makes it obvious that these glamorous celebrities have a poor effect on the conduct of young people . This will be proven by looking at how health and personality of young people is affected by following celebrities as their mentors .",Effect of celebrities on youth,"[(0, 42), (42, 55), (55, 79)]","[(42, 55)]",-,1.0,PM,C1.3845,train,essay366,these glamorous celebrities have a poor effect on the conduct of young people,PM
"Many animals today are in danger of extinction owing to various reasons . We should put our own survival and sustainment in order first before considering the conservation of other species . While some people believe it is important to protect these endangered species , others argue that problems of human beings deserve more attention .",Protect animals or not?,"[(0, 13), (13, 31), (31, 56)]","[(13, 31)]",-,1.0,PM,C1.1453,test,essay139,We should put our own survival and sustainment in order first before considering the conservation of other species,PM
"Almost every school develops their online class systems . Unlike the distance learning that children have few opportunities to discuss with their friends . But in the future , it seems that the distance learning become more popular and ordinary in schools .",Distance learning and online computer classes should replace classroom,"[(0, 9), (9, 23), (23, 43)]","[(9, 16)]",m1,0.5,SP,C1.2083,test,essay204,Unlike the distance learning that children have,SP
"But many other still thinks they are going to stay . Though considering the current infrastructure and mindset of people , paper media will continue for another few years . Digital media has been extremely popular among people around the globe .",Internet will end the era of newspapers and magazines,"[(0, 12), (12, 29), (29, 42)]","[(12, 29)]",-,1.0,PM,C1.3707,train,essay350,"considering the current infrastructure and mindset of people , paper media will continue for another few years",PM
"While some appear to believe that advanced plant foods incorporate with newly developed devices significantly reduce the cost of producing farm products , others argue that this collaboration exerts a series of negative effects to people 's health condition and the society . Admittedly , applying the advanced fertilizers in combine with the automatic reaping resources increase farmers ' economic profit . In contrast , manual harvest prevents severe environmental damages . In recent years , the discussion about the agriculture development has become a controversy .","Advanced fertilizers and machine for farmers, good or bad?","[(0, 45), (45, 61), (61, 65), (65, 71), (71, 87)]","[(55, 72)]",m7,0.706,MG,C3.1215,train,essay115,"resources increase farmers ' economic profit . In contrast , manual harvest prevents severe environmental damages .",MG
"The Technology has developed a lot . For example , if a guy wants to prepare a dinner to his girlfriend , he could just buy some food that comes with instructions . And that happened mainly because of the development of the technology .",Easy preparation of food leads to a better life,"[(0, 10), (10, 32), (32, 45)]","[(10, 21)]",m1,0.5,SP,C1.2389,train,essay233,if a guy wants to prepare a dinner to his girlfriend,SP
"In my view , I firmly disagree with this recommendation due to several reasons . Indeed , not many people are blessed in the talent of paintings and work crafts . Therefore , there is a suggestion that governments should not continue to fund the artists , but they ought to spend money on other necessary subjects such as medical research and space .",Funding artists,"[(0, 17), (17, 30), (30, 64)]","[(17, 23)]",m1,0.462,SP,C1.1230,train,essay116,not many people are blessed in,SP
"Therefore , it is necessary for many to find ways to relax . Thus good exercises can often successfully alleviating one 's heavy burdens . In modern society , people often face many difficulties under great stress .",The best way to relax is by exercises,"[(0, 14), (14, 24), (24, 38)]","[(16, 24)]",m1,0.8,IMP,C1.772,test,essay072,can often successfully alleviating one 's heavy burdens,DISP
"Remember if you are afraid of encountering difficulties , then you will be in the troubles all the time . For that reason , some people advocate that some difficulties people met at their early ages will become an invaluable fortune in their future lives . There is a famous old saying that failure is the mother of success .",Most difficult experiences will become valuable lessons,"[(0, 20), (20, 46), (46, 60)]","[(32, 51)]",-,0.0,MU,C2.1323,test,essay240,at their early ages will become an invaluable fortune in their future lives . There is a famous old,MU
It is widely accepted by many people that a mistake will return sometimes terrible result . I want to say that mistakes will be forgotten quickly . There is an argument regrading weather letting a friend make a mistake is better than taking action that risks destroying a friendship .,"Friendship is more important than mistake by a friend, although mistake is terrible","[(0, 21), (21, 26), (26, 50)]","[(21, 26)]",-,1.0,PM,C1.2354,test,essay229,mistakes will be forgotten quickly,PM
"There is a controversial debate around the world about the duties of citizen . Therefore , they have fulfilled their duty as a citizen . Some people believe that paying tax is the only responsibility of citizens , while others disagree and think that being a person in society involves more responsibilities .",Citizen's only responsibility is to pay taxes,"[(0, 16), (16, 24), (24, 53)]","[(2, 24)]",m3,0.364,MISP,C1.1169,train,essay110,"a controversial debate around the world about the duties of citizen . Therefore , they have fulfilled their duty as a citizen",DISP
"Secondly , if you believe that hard work is the key to success , it would make you a visionary person . Hence I strongly believe in hard working that would not easily disappoint you as luck sometimes does . First , if you depend only on luck for all your accomplishments , you are taking a great risk . There are many instances that luck has brought people things that they never could even imagine .",Luck vs hard work,"[(0, 23), (23, 39), (39, 42), (42, 59), (59, 77)]","[(19, 55)]",m8,0.8049999999999999,MG,C3.2079,train,essay203,"visionary person . Hence I strongly believe in hard working that would not easily disappoint you as luck sometimes does . First , if you depend only on luck for all your accomplishments , you are",MG
"However , it does not mean that air travel should be more expensive . These days , millions of people can travel around the world for work or pleasure . Instead , people should be aware of their responsibility to reduce the emissions caused by their lifestyle choices .",Cheap air travel should be encouraged?,"[(0, 14), (14, 29), (29, 49)]","[(17, 29)]",m1,0.8,IMP,C1.1726,train,essay162,millions of people can travel around the world for work or pleasure,DISP
"However , it is possible that this idea is not completely true . Hence , there is a strong likelihood that today people are able to know the world better . In addition to this , news media help people broaden their knowledge . Nowadays news media have become more and more popular .",The popularity of news media,"[(0, 15), (15, 30), (30, 36), (36, 43), (43, 54)]","[(23, 43)]",m3,0.7,MG,C3.991,train,essay095,"are able to know the world better . In addition to this , news media help people broaden their knowledge",MG
"I think it is more likely to solve the problems of the world rather than intensifying them . Globalization as a gradual change affecting all over the world is not an exception . During the history of the world , every change has its own positive and negative sides .",Effects of globalization,"[(0, 18), (18, 33), (33, 50)]","[(10, 28)]",-,0.0,MU,C2.204,train,essay033,of the world rather than intensifying them . Globalization as a gradual change affecting all over the world,MU
"However , others argue that they are just animals and are n't able to think like us . For example , nowadays the pet therapy is becoming more popular than before . Moreover , there are dogs who are educated in order to find out criminals or to use their sense of smell to find drugs . To illustrate this point , I can write about my own experience .",Our useful friends,"[(0, 21), (21, 31), (31, 34), (34, 56), (56, 70)]","[(21, 49)]",m2,0.893,MG,C3.3359,train,essay313,"nowadays the pet therapy is becoming more popular than before . Moreover , there are dogs who are educated in order to find out criminals or to use",MG
"Today , close circuit television ( CCTV ) cameras are widely used in a variety of circumstances . Nevertheless , some argue that these cameras invade their privacies due to constantly being monitored . Looking from another perspective , the use of CCTV cameras does cause controversy .",Use of CCTV cameras,"[(0, 18), (18, 34), (34, 48)]","[(14, 31)]",-,0.0,MU,C2.590,train,essay085,"variety of circumstances . Nevertheless , some argue that these cameras invade their privacies due to constantly",MU
"I did not stop and won a medal goals in my life at the age of nearly thirty . I remembered how I was suffered in the first round when I was last person who touched the line . At some moment , my body was telling me to stop but the choice that I made was on the contrary .",Keep trying and never stop working for your goals,"[(0, 19), (19, 38), (38, 61)]","[(22, 38)]",m1,0.842,IMP,C1.3206,test,essay301,I was suffered in the first round when I was last person who touched the line,DISP
"This is detrimental to study and work ethics and habits . Firstly , celebrities such as sports player whose performance and professional skills can be directly seen by their fans . Some people think that celebrities are known for their glamorous lifestyle rather than the work they do .",Some celebrities misguide young people& some guide them in right direction,"[(0, 13), (13, 30), (30, 49)]","[(13, 30)]",-,1.0,PM,C1.3788,train,essay360,celebrities such as sports player whose performance and professional skills can be directly seen by their fans,PM
"Some inhabitants argue that this case appears because the guns are always used by a police to solve a criminal act . Personally , I tend to disagree with this statement , while I believe that other factors contribute a slight incline level of violence . However , some cases occupy a crucial reason to do a criminality in society such unemployment .",Do guns can really increase the level of violence?,"[(0, 22), (22, 46), (46, 63)]","[(25, 26)]",-,0.0,MU,C2.2328,train,essay385,tend,MU
"However , that is not equal to their actual contributions to the society . It is assumed the amazing performances they give to the audiences are only valuable in aesthetic and entertaining terms . Hence , their privilege of salary seems groundless , while the main work forces receive modest salaries which only enable them to afford bare necessities . Some people believe that professional athletes and entertainers are paid reasonable salaries , which can be up to millions of dollars each year .",Whether athletes and singers are overpaid?,"[(0, 14), (14, 33), (33, 36), (36, 59), (59, 84)]","[(12, 49)]",m8,0.865,MG,C3.1253,train,essay118,"society . It is assumed the amazing performances they give to the audiences are only valuable in aesthetic and entertaining terms . Hence , their privilege of salary seems groundless , while the main work forces receive",MG
"Some individuals are of the opinion that if people live a simple life and do not use the things that technology has brought us then these problems can be solved whereas others opine that only technology can solve these problems . It would mean energy for schools , hospitals , and homes . It would be highly unpractical to ask people to adopt a simpler way of life .",Can technology alone solve the world's environmental problems?,"[(0, 41), (41, 52), (52, 69)]","[(44, 52)]",m1,0.727,IMP,C1.1244,test,essay117,"energy for schools , hospitals , and homes",DISP
"Otherwise , the violent crime rate will rise continuously and out of control someday . What the government should do immediately is to strengthen censorship to control the amount of violence in media . Obviously , violence in the media is often portrayed as extreme as possible in order to attract audiences .",Should government control media crime,"[(0, 15), (15, 33), (33, 53)]","[(15, 24)]",m1,0.5,SP,C1.732,test,essay068,What the government should do immediately is to strengthen,SP
This tendency enforces universities to accept student according to the gender . They still believe that in present time women must do such type of work only . This factor is still affecting thinking of many people .,Gender Equality at university admission,"[(0, 12), (12, 28), (28, 38)]","[(6, 9)]",-,0.0,MU,C2.100,train,essay018,student according to,MU
"Despite the development of modern society , the health care and education still remain the basic rights of citizens . After all , the harmonious society calls for the joint efforts of the government and citizens . At the same time , citizens available for the both should encourage the government to allocate money to more urgent areas .",Government should be responsible for education and health care or not?,"[(0, 20), (20, 37), (37, 59)]","[(53, 53)]",-,0.0,MU,C2.517,train,essay076,,MU
"Human life today ca n't be imagined without computers , so not depending on them is out of question . They have even invaded mental health of humans , for example , FAD ( Facebook Addiction Disorder - excessive use of social networking website Facebook ) . Computer-a device which has given a whole new dimension to the human life .","Computers - use, future prospects and over-dependence","[(0, 20), (20, 46), (46, 61)]","[(20, 46)]",-,1.0,PM,C1.647,test,essay061,"They have even invaded mental health of humans , for example , FAD ( Facebook Addiction Disorder - excessive use of social networking website Facebook )",PM
"Some countries have stringent rules , like capital punishment , while other have a lot of flexibility in the judicial system . Its first and foremost objective is safety of other human beings . However , it should be considered as the last option by the jury and all circumstances must be taken into account before pronouncing the final verdict .",Capital punishment - necessary or not,"[(0, 22), (22, 33), (33, 61)]","[(22, 27)]",m1,0.455,SP,C1.596,train,essay059,Its first and foremost objective,SP
"In this long process of discussion , there must be different opinions sparkling out . It 's just like a picky mirror through which we can see the bad side of us and thus try to become more beautiful and confident . It might be easy to take praises but hard to accept criticism .",People who can’t accept others’ criticism can’t succeed in group working,"[(0, 15), (15, 42), (42, 55)]","[(14, 30)]",-,0.0,MU,C2.1392,train,essay251,. It 's just like a picky mirror through which we can see the bad side,MU
"Companies vary from small to large ones based on the context , success and needs of their work . Second , I think that a large company can give better salaries than a smaller one . Third , I love travelling around the world .",Some people prefer to work for a large company,"[(0, 24), (24, 35), (35, 45)]","[(26, 35)]",m1,0.818,IMP,C1.3071,train,essay290,company can give better salaries than a smaller one,DISP
"However , cars themselves , especially private ones , have exerted severe pressure on the environment and economy for wasteful oil consumption . However , taxation on flamable resources might backfire by conducing to inflation . There is no doubt our life has had a change for the better since cars were introduced .",Increased taxation on petrol and diesel fuel to discourage private cars?,"[(0, 25), (25, 35), (35, 54)]","[(27, 35)]",m1,0.8,IMP,C1.3983,train,essay380,flamable resources might backfire by conducing to inflation,DISP
"There are some people who believe that distance learning and online computer classes should replace classroom learning while there are some people who strongly disagree with this opinion . For example , I have my personal experience . I list my reasons as follows .",Classroom learnng vs online education,"[(0, 29), (29, 38), (38, 45)]","[(6, 16)]",-,0.0,MU,C2.1789,train,essay297,that distance learning and online computer classes should replace classroom,MU
This issue will be discussed . They believe that only good students have potentials to success programs more that those who are not considered as good students . There are an issue that some people agree that this opportunity should be preserved for good students however there are others people who think that everyone should have this chance to gain these advance skills from college or university .,Higher education should be available only to good students or not,"[(0, 9), (9, 27), (27, 68)]","[(11, 27)]",m1,0.889,IMP,C1.3082,train,essay291,students have potentials to success programs more that those who are not considered as good students,DISP
"In summary , each way learning life has its own benefits . On one hand , the way of learning life through listening to the advice of family and friends is more realistic than the latter . In contrast , free yourself and do what you desire without notice about consequences is the way that success people would like to choose . Both ways are good to follow because they all have their own distinct advantages .",The best way of learning life,"[(0, 16), (16, 36), (36, 40), (40, 61), (61, 77)]","[(8, 58)]",m8,0.76,MG,C3.2214,train,essay217,"its own benefits . On one hand , the way of learning life through listening to the advice of family and friends is more realistic than the latter . In contrast , free yourself and do what you desire without notice about consequences is the way that success people would",MG
"In the following paragraphs , some of my viewpoints would be given and analyzed respectively . There are plenty of people , who are now really successful , have started working in challenging as well as competitive fields as singers , dancers and painters . Along with the increasing physical demands of human life , salary has become the most influential consideration in defining careers of everyone .",Salary is the most important consideration when choosing a job,"[(0, 16), (16, 44), (44, 68)]","[(16, 44)]",-,1.0,PM,C1.3974,train,essay379,"There are plenty of people , who are now really successful , have started working in challenging as well as competitive fields as singers , dancers and painters",PM
"There is an argument regrading weather letting a friend make a mistake is better than taking action that risks destroying a friendship . It is widely accepted by many people that a mistake will return sometimes terrible result . In this essay , I will present two reasons supporting my opinion .","Friendship is more important than mistake by a friend, although mistake is terrible","[(0, 23), (23, 39), (39, 52)]","[(27, 31)]",-,0.0,MU,C2.1286,test,essay229,by many people that,MU
I utterly disagree with this opinion due to technological and medical reasons . A clear-cut example that supports this idea is the invention of smart phones . Changes are inseparable parts of this world which normally humans are responsible for by manipulating the environment they live in .,Do you believe that elderly people used to live in a better world?,"[(0, 13), (13, 26), (26, 48)]","[(13, 26)]",-,1.0,PM,C1.1600,train,essay152,A clear-cut example that supports this idea is the invention of smart phones,PM
"They all enrich our daily lives . There are countless new technological equipments flooding into our lives , such as the Internet , television and cell phone . Just imagine : if a student ca n't even make out whether the source is reasonable or not , then how can he get the right information to help him to learn ?",Lessons with teachers versus others sources,"[(0, 7), (7, 28), (28, 61)]","[(3, 29)]",-,0.0,MU,C2.74,train,essay014,"our daily lives . There are countless new technological equipments flooding into our lives , such as the Internet , television and cell phone . Just",MU
"Many governments restrict the artistic works of the creative minds . Unfortunately , many governments restrict the artists . have made artistic works which gave a social message .",Creativity - should it be given freedom or restrictions,"[(0, 11), (11, 19), (19, 29)]","[(1, 39)]",-,0.0,MU,C2.342,train,essay057,"governments restrict the artistic works of the creative minds . Unfortunately , many governments restrict the artists . have made artistic works which gave a social message .",MU
"Getting the best lessons , besides our abilities to self-study , depends on our teachers a lot . Therefore , even when we grow older , get married and then have our own families with spouses and children , parents always keep watching us and help us to realize which is right and which is wrong in life . I whole-heartedly agree with this opinion because of these following reasons . For instance , my older brother has got married and lived independently for two years but when he faces difficulties in his work or his life , he comes back to meet our parents and ask for advice . Learning is a thing that we do in all of our lives .",Parents are our teachers from the very early time in our life,"[(0, 20), (20, 58), (58, 74), (74, 109), (109, 123)]","[(17, 105)]",m8,0.784,MG,C4.2382,train,essay323,". Therefore , even when we grow older , get married and then have our own families with spouses and children , parents always keep watching us and help us to realize which is right and which is wrong in life . I whole-heartedly agree with this opinion because of these following reasons . For instance , my older brother has got married and lived independently for two years but when he faces difficulties in his work or his life , he comes back to meet our parents",MG
"Second , not all of serious movies are boring . For the above reasons , I prefer to see those serious movies which make people have deep thoughts toward their real lives . Here are my reasons .",Serious or entertaining movies,"[(0, 15), (15, 32), (32, 38)]","[(3, 32)]",m3,0.586,MISP,C1.1855,train,essay174,"all of serious movies are boring . For the above reasons , I prefer to see those serious movies which make people have deep thoughts toward their real lives",DISP
"Most people want to work for an employer , because they want to feel secure about their salary , or feel comfortable about other problems of having own job such as paying tax , worrying about selling , etc . Moreover , earning money is the fundamental reason that why people work . My arguments are listed as follows .",Work for themselves vs work for employer,"[(0, 42), (42, 52), (52, 60)]","[(42, 52)]",-,1.0,PM,C1.3451,train,essay321,earning money is the fundamental reason that why people work,PM
"The essay intends to explore both sides of arguments and also present my own opinion . Firstly , some people suggest that qualification should be the foremost measurement to determine the value of a employer . However , some employers still believe that qualifications should be the most paramount criterion .",Qualification is still the fundamental determinant of an employee's competency of their jobs,"[(0, 22), (22, 35), (35, 51)]","[(22, 35)]",-,1.0,PM,C1.1390,train,essay134,qualification should be the foremost measurement to determine the value of a employer,PM
"Both options have their advantages and disadvantages . While in a dormitory you have to obey preset rules , in the apartment you set your own rules . Many students prefer to live in the university dormitories while others prefer an apartment in the city .",Apartments vs dormitories at university,"[(0, 8), (8, 27), (27, 46)]","[(8, 17)]",m1,0.474,SP,C1.1809,test,essay172,While in a dormitory you have to obey preset,SP
"Personally , I agree with this statement . In conclusion , criticism is essential especially in group working but in other occasions we still need criticism . However , some people might ask : what if the criticism proves to be wrong ?",People who can’t accept others’ criticism can’t succeed in group working,"[(0, 11), (11, 26), (26, 43)]","[(12, 26)]",m1,0.933,IMP,C1.2589,train,essay251,is essential especially in group working but in other occasions we still need criticism,DISP
"Some students are fast learner , but some students are not . Second , learning abilities in each students is different . So that , I disagree with this notion .",Should teachers be paid according to how much their students learn?,"[(0, 14), (14, 21), (21, 31)]","[(14, 21)]",-,1.0,PM,C1.2986,train,essay283,learning abilities in each students is different,PM
"Everyone is different . So that , I disagree with this notion . Although students are in the same process of education system , learning abilities in each students are not equal .",Should teachers be paid according to how much their students learn?,"[(0, 4), (4, 13), (13, 33)]","[(14, 27)]",-,0.0,MU,C2.1702,train,essay283,"students are in the same process of education system , learning abilities in",MU
"The last 50 years have seen an increasing number of immigrants to other countries . These feedbacks , in turn , help raise one ’ s pride of their cultures and help people understand each other more . Some people thought that they should follow the local customs in order to integrate into their adopted countries ’ cultures .",More people are migrating to other countries than ever before,"[(0, 15), (15, 37), (37, 59)]","[(15, 26)]",m1,0.5,SP,C1.16,train,essay002,"These feedbacks , in turn , help raise one ’ s",SP
"In conclusion , working with a group a people and working individually are all important . Let 's imagine that you perform really well when you can discuss the problems with other people , but you have no experience of working alone , standardized tests such as SAT , TOEFL may be your nightmares . Both skills are necessary for a successful life .",Work in team or independently,"[(0, 16), (16, 54), (54, 64)]","[(16, 28)]",m4,0.316,MISP,C1.2162,train,essay213,Let 's imagine that you perform really well when you can discuss,DISP
"I think single people should live with a roommate , if they want to enjoy their lives . As far as I am concerned , I prefer to live with a roommate . They failed to give me any useful solutions . Each makes different decisions .",Living with a roommate is better than Living alone,"[(0, 25), (25, 32), (32, 33), (33, 41), (41, 47)]","[(23, 39)]",m8,0.813,MG,C3.1617,test,essay154,"concerned , I prefer to live with a roommate . They failed to give me any",MG
But many other still thinks they are going to stay . A very important responsibility of media is to publish information about the current affairs as quickly as possible specially when there is a crisis . This feature of digital media is not supported by newspapers and magazines . Digital media has been extremely popular among people around the globe .,Internet will end the era of newspapers and magazines,"[(0, 11), (11, 35), (35, 36), (36, 48), (48, 61)]","[(18, 48)]",m3,0.967,MG,C3.3694,train,essay350,to publish information about the current affairs as quickly as possible specially when there is a crisis . This feature of digital media is not supported by newspapers and magazines,MG
"For most folks on Earth , the need to gather in one place , and enjoy competition with other talented people from different cultures through popular games has always been a strong motivation . For example , when Irak was hardly struck by the Second Gulf War , its citizens tried to catch any incoming news about the FootballWorld Cup through their portable receivers . This will be proved by analysing how sports events may be an important link to the peace , and by how they encourage people to display their national symbols .","Sporting events easing international tensions, releasing patriotic feelings","[(0, 37), (37, 64), (64, 95)]","[(37, 64)]",-,1.0,PM,C1.423,train,essay043,"when Irak was hardly struck by the Second Gulf War , its citizens tried to catch any incoming news about the FootballWorld Cup through their portable receivers",PM
"When co-operation and healthy competition is followed together , success , achievements , recognition and any goal becomes easier . However , co-operative approach always helps a child to become a responsible adult with good moral values and a friendly social circle . Some people think that inculcating co-operative approach in a child is essential while some think that competing is the best way to succeed .",Competition or co-operation-which is better,"[(0, 20), (20, 43), (43, 67)]","[(27, 53)]",-,0.0,MU,C2.351,train,essay058,child to become a responsible adult with good moral values and a friendly social circle . Some people think that inculcating co-operative approach in a child,MU
"It is human nature that people , especially youngsters , are attracted to the celebrities they favour , and that is why the media prefer to cover as much news of the celebrities as possible . Celebrities , for example movie stars , are usually seen on media living a luxury life or having a new girlfriend , etc . Meanwhile , children 's access to the celebrities news on the media should be restricted and they should study only from the celebrities who can act positively .","Drugs, alcohol and messy sex lives","[(0, 36), (36, 60), (60, 88)]","[(58, 67)]",-,0.0,MU,C2.2364,train,essay399,"etc . Meanwhile , children 's access to the",MU
